charactor,text
かばん,わぁ！？ わ〜〜！ 
サーバル,大丈夫…？
かばん,すみません…。
サーバル,やっ、えい、えい！
かばん,うう…。
かばん,…うわあっ！ 
かばん,うう…。 ごめんなさい…。
サーバル,平気平気。 フレンズによって得意なこと違うから。
かばん,あっ…はあ…はあ…。 はあ、はあ…。
かばん,あ…。 フレンズさん…ですか？
サーバル,あっ！ ダメ！ それはセルリアンだよ！ 逃げて！
かばん,うわあ…！ うっ。
サーバル,みゃみゃみゃみゃみゃみゃみゃみゃみゃー！ えーい！
かばん,わあ…うわあ…。
サーバル,あれはセルリアンっていうんだ。 ちょっと危ないから、気をつけてね。
サーバル,でも、あれくらいのサイズなら、自慢の爪で、やっつけちゃうよ。
かばん,すごいですねサーバルさん！ ぼくには、そんな力…普通に案内してもらうだけで、こんな感じだし…。
かばん,ぼくって、相当ダメな動物だったんですね。
サーバル,大丈夫だよ。 わたしだって、みんなからよく、ドジー！ とか、ぜんぜん弱いー！ とか、言われるもん。
サーバル,それに、かばんちゃんはすっごい頑張り屋だから、きっとすぐ、何が得意かわかるよ。
サーバル,ここでちょっと休憩！
サーバル,太陽が一番暑い時間は、下手に動いちゃダメだからねー。
サーバル,あとで水も飲もうね。 こっちもお勧めの場所があるんだ。
サーバル,あーあ。 鳥のフレンズだったら、ひょいっと飛んでいけるのになー。
かばん,フレンズさんって、いろいろいるんですか？
サーバル,いるよ！ わたしよりも強くて怖くて、おっきいネコ科の子も、たっくさん。
かばん,か、噛まれたりとか…しますか？
サーバル,そんなこと…たまーに機嫌が悪い時だけだよ。
かばん,そ、そうなんだ…。
サーバル,あっ、でも、さっきのセルリアンには注意だよ。 ほんとはこの辺には、あんまりいないはずなんだけど…。
かばん,さっきのサーバルさんの爪、すごかったです。
サーバル,フレンズの技だよ！ また出てきたら、わたしに任せて。
かばん,すみません…。
サーバル,
サーバル,あれっ、かばんちゃん、はあはあしないんだね。 それにもう、元気になってる。
かばん,えっ？
サーバル,すごいよ、けっこう歩いたのに。
かばん,そ、そうかな。
サーバル,わたし、あなたの強いところ、だんだんわかってきたよ。
サーバル,きっと素敵な動物だよ。 楽しみだね！
かばん,すごい木…！
サーバル,大きいでしょう！ サバンナにはところどころに木があるんだよ。
サーバル,あっ、そうだ！ 木登りができると、逃げたり隠れる時に便利だよ。 ちょっと、やってみない？
かばん,ええっ？
サーバル,みゃーみゃみゃみゃみゃみゃみゃみゃみゃみゃみゃみゃー！
サーバル,ねっ、簡単でしょう？
かばん,無理ですよぉー！
サーバル,これだったらどうかなあ？
かばん,
サーバル,よい…しょっと！ 
かばん,うわっ！
サーバル,いいでしょ！ 木登り！
かばん,うわー…！ ああ…！
サーバル,水場はあそこだね！ いこうか！
かばん,うわっ！ 
サーバル,
かばん,うわあー！ 水だあー！
サーバル,うわあー！ 水だあー！
かばん,おいしー！
サーバル,おいしー！
サーバル,けっこう歩いたね。
かばん,ああ…。
サーバル,あっ、あそこ！ 休憩した木陰だね。
かばん,ほんとだ。
サーバル,景色を見ながら水飲むと、生き返るよね。 元気元気！
かばん,サーバルさん、ずっと元気でしたよ。
サーバル,にしても、今日は空いてるなー。 いつも場所取りになるぐらいの場所なのに。 こわーい誰かでも来たのかな。
かばん,えっ？
カバ,だーれー？
かばん,うわあ！ た、食べな…。
カバ,失礼、水浴びをしてましたの。
サーバル,あ、カバ。
カバ,珍しいわねサーバル、この辺まで遊びに来るなんて。
サーバル,今日はゲートまでいくんだ。 お水を飲んでいこうと思って。
サーバル,今日はフレンズが少ないね。
カバ,今日はセルリアンが多いから、みんなあんまり出歩かないのですわ。
カバ,ゲートにも、ちょっと大きいのがいるそうよ。 気を付けるんですのよ。
サーバル,じゃあ、わたしがやっつけちゃうよ！
カバ,サーバルがですの！？ 心配ですわ…。
サーバル,大丈夫だよ。 さっきもやっつけたもん。
カバ,どうせ小さいやつですわ。
サーバル,な、なんでわかったの！？
カバ,ところで、その子はどちら様？
サーバル,かばんちゃんだよ。
カバ,かばん…？
かばん,
カバ,聞いたことない動物ですわね。
サーバル,名前はさっき付けたの。 なんの動物かわかんないんだって。 それで、図書館に行ったらいいんじゃないかなーって。
サーバル,この子がなんの動物か、わかったりしない？
カバ,うーん…。 あなた、泳げまして？
かばん,いえ…。
カバ,空は、飛べるんですの？
かばん,いえ…。
カバ,じゃあ、足が速いとか？
かばん,いえ…。
カバ,あなた何にもできないのね…。
かばん,ううっ…。
サーバル,そ、そんなことないよ！
カバ,うふっ、まあサーバルみたく、足も速いし鼻も耳もいいのに、おっちょこちょいでぜーんぶ台無しになってる子もいることですし。 気にすることないですわ。
サーバル,ひどいよ…。
カバ,わたしも泳げませんしね。
サーバル,えっ？ そうだったの？
カバ,ただ。 ジャパリパークの掟は、自分の力で生きること。 自分の身は、自分で守るんですのよ。
カバ,サーバル任せじゃダメよ。
かばん,あ、はい！
サーバル,じゃあ、わたし達いくね。
カバ,あっ、セルリアンと会ったら、基本逃げるんですのよ。 どうしても戦う時は、ちゃんと石を狙いなさいね。
サーバル,うん！
カバ,あと、暑さに気を付けるんですのよ。 特にサーバル、あなたほとんど汗かかないんだから、今のうちに水もたくさん飲んで…。
サーバル,はーい。
カバ,それから、上り坂下り坂は、足をくじかないように気をつけて…。
サーバル,大丈夫だよ！
サーバル,もうちょっとでゲートだよ。 ここの平たいのが目印なんだ。
かばん,サーバルさん、本当に詳しいですね。
サーバル,えっへん！ あっ、もうさばんなちほーの出口が見えてくるよ。
かばん,ああ、ほんとですか？
かばん,？
サーバル,わっ、なにこれ？ ちほーの場所がわかるの？
サーバル,今、さばんなちほーで、隣がじゃんぐるちほーだから、今、ここか。
サーバル,いいなあ、これ。 どこにあったの？
かばん,ここにありましたよ。
サーバル,ええっ。 全然知らなかった。 どうやって出したの？
サーバル,あっ！？
かばん,どうしました？ サーバルさん…？
かばん,あれもセルリアンですか…？
サーバル,さっきのあの声、誰か食べられちゃってるかもしれない。
かばん,た、食べられ…？
サーバル,助けなきゃ。
サーバル,ええっ？ 石がないよ？ どこ？
サーバル,えーっ！？ 石がないよ！ なんでー？
かばん,サーバルさん！ セルリアンの後ろに！
サーバル,えっ、ほんとだ。 背中にある…。
サーバル,うっ、ほら、ほ、ほら！
サーバル,めちゃくちゃ見てるよー。 向こう向いてよー。
サーバル,ううっ、どうしよう…。 こんなの初めて見るよ…。
かばん,今のうちに、サーバルさん！
サーバル,あっ。 みゃ〜〜！
かばん,あっ？
カバ,わたしに大口勝負を挑むなんて、いい度胸してますわね！
サーバル,えーい！
カバ,サーバルは詰めが甘いわね…。 助けるのは今回だけよ。
カバ,変わった子ね。 でも、サーバルを助けようとしたのね。
かばん,サーバルさん！ はあ、よかった。
かばん,…？
サーバル,……すっごーい！ なにあれ！？
かばん,えっ…？
サーバル,すっごーい！ さっきの、なあにあれ？ ひゅーんて空を飛ぶやつ。 あれなに？ どうやったの？
かばん,か、紙飛行機のこと？ 作ったんだけど…。
サーバル,作った〜〜！？
サーバル,じゃあ、気を付けてね。 じゃんぐるちほーでも、図書館にいきたいって話せば、フレンズの子が次のちほーまで案内してくれるはずだから。
かばん,ありがとうございました…ほんとに…サーバルさんがいなかったら、ぼく…。
サーバル,かばんちゃんはこんなにすっごい技を持ってるんだもん。 何があっても大丈夫だよ。
サーバル,なんの動物かわかったら、また、さばんなちほーにも寄ってね。
かばん,はい…必ず…！
サーバル,そうだ！ 今度会った時は、サーバルちゃんって呼んでね。 話し方ももっと普通に。 もうお友達だから。
かばん,わかりました…ありがとうございます。 じゃあ…いきますね。
サーバル,えへへへ。
かばん,うわーっ！ た、食べないでください！
サーバル,食べないよ！
かばん,はー…。
かばん,サーバルさん…どうして…？
サーバル,やっぱり、気になるからもうちょっと付いていこうかなって。
かばん,サーバルさん…。
サーバル,ほら、約束でしょ。 次会った時だから、サーバルちゃんって呼んで。 話し方も。
かばん,さっき別れたばっかりじゃない。
サーバル,ちゃんと一回別れたからいいの。
かばん,そうかなあ。 えへへ。
サーバル,ほら、いこういこう！
サーバル,ね、明日どこ通っていこうか？
サーバル,じゃんぐるちほーって、大きい川があるらしいよ。 楽しみだなー。
かばん,サーバルちゃん、元気だね。 ぼく、今日いろいろあったから、そろそろ…。
サーバル,わたし、夜行性だからね。 あと、じゃんぐるちほーもフレンズがたくさんいるんだって。 おもしろいことがいっぱいありそうだね。
かばん,あっ、サーバルちゃん、危ないよ。
サーバル,大丈夫！ 夜行性だから！
サーバル,ぎゃー！ 
サーバル,びっくりした…。
かばん,気を付けようね…。
かばん,あっ？
かばん,サーバルちゃん、後ろ！
サーバル,ボス！？
かばん,えっ？
サーバル,大丈夫、知り合いだよ。
サーバル,ボス、この子、なんの動物かわからないんだって。 住んでるところまで、一緒に案内…。
ラッキービースト,はじめまして。 ぼくは、ラッキービーストだよ。 よろしくね。
かばん,あっ…どうも…はじめまして。 かばんです…。
かばん,どうしたの？ サーバルちゃん？
サーバル,うぅわ〜〜！ 喋った〜〜！？
原作,けものフレンズプロジェクト
コンセプトデザイン,吉崎観音
企画,廣部琢之、加藤英治、山田昇、柳田一哉、ビンセント・ショーティノ、柴野達夫、池本浩史、梶井斉、寺井禎浩、濱田直樹、長畑克也、武智恒雄
特別協力,竹林昇、宮原亜希子
シリーズ構成・脚本,田辺茂範
作画監督,伊佐佳久
美術監督,白水優子
撮影監督,石山智之
音響監督,阿部信行
音楽プロデューサー,内田峻
音楽制作,ビクターエンタテインメント
音楽協力,テレビ東京ミュージック
アニメーション プロデューサー,福原慶匡
アニメーション制作,ヤオヨロズ
プロデューサー,細谷伸之、岡本泰幸、清水美佳、福田聡、秋尾浩史、石垣吉彦、工藤大丈、塩田友、和泉勇一、福田順
作画,伊佐佳久、原田優、加藤望、千里紗月、若葉恵、森山文子
美術,白水優子、鈴木凛、後藤律里、田中璃奈
衣装デザイン協力,雪
撮影,旭プロダクション宮城白石スタジオ、石本智之、伊藤隆洋、長谷部祐介、渋谷佳樹
編集,ヤオヨロズ
ビデオ編集,尾形茂信
編集助手,小林准
編集スタジオ,ビデオテック、海老沢かおる
音響効果,風間結花
録音調整,佐藤敦
録音助手,竹内俊平
録音スタジオ,スタジオインスパイア
音響制作,青二プロダクション
音響制作担当,池田克明、池沢勝斗
オープニングテーマ,「ようこそジャパリパークへ」どうぶつビスケッツ×PPP、作詞・作編曲: 大石昌良
挿入歌,「大空ドリーマー」PPP、作詞・作編曲: halyosy
オープニングアニメーション,絵コンテ・演出: たつき、作画監督: 伊佐佳久、美術: 白水優子
番組宣伝,大城博章、志村麻奈貴、飯塚彩、矢崎潤、津末達也
宣伝協力,少年エース
取材協力,多摩動物公園
プランニングマネージャー,石本順也
タイトルロゴデザイン,米田龍平
制作進行,影近直樹
コンテ・演出・監督,たつき
製作,けものフレンズプロジェクトA
アライグマ,くんくん…ここを通っているようなのだ。 早く捕まえないと…。
フェネック,まあまあ、気軽にいこうよ。 道のりは長いよ。
アライグマ,ダメなのだ！ これ以上逃げられたら、逃げられたら、パークの危機なのだ！
フェネック,パークの危機ねー。 アライさんに付き合うよ。
アライグマ,一刻も早く、捕獲するのだ。
フェネック,はいよー。
プリンセス,今週は、ジャガーについて予習するわよ。
プリンセス,雨の神って、どういうことかしら？
フルル,雨乞いするの？
コウテイ,雨乞いするの？
ジェーン,雨乞いするの？
イワビー,ロイヤルやってみてよ。
プリンセス,あ…あーめーよーふーれー…。
イワビー,あー…これはひどい…。
フルル,あー…これはひどい…。
コウテイ,あー…これはひどい…。
ジェーン,あー…これはひどい…。
プリンセス,次回、じゃんぐるちほー。
サーバル,うわぁ！ ボス！？
ラッキービースト,よろしくね。
かばん,あっ。 どうも、よろしくお願いします。
サーバル,しゃべったー！？
かばん,えっ？ 普段そんなに喋らないの？
サーバル,初めて声聞いたよ。 なんで？ えっ、ボスって喋れたの？
ラッキービースト,きみの名前を教えて。 きみは何が見たい？
かばん,か、かばんって言います。 図書館が見たいんですけど…。
ラッキービースト,わかった。 図書館までのルートを検索するよ。 その前に、ジャパリパークについて話すね。
ラッキービースト,ジャパリパークは、気候を元にして、いくつかのちほーに分かれているよ。
ラッキービースト,それぞれに動物、植物が展示されているんだ。
ラッキービースト,まず大きく5つの気候帯に分離…。
ラッキービースト,…フレンズと呼ばれる生き物達で、彼女らは動物やその遺物と…。
ラッキービースト,あ。 
ラッキービースト,
ミライ,えー、おほん。 テストテスト。
サーバル,あれ？
ミライ,えー、テステス。 聞こえますか？ こちらさばんなちほーです。
かばん,… 
ラッキービースト,
かばん,
サーバル,寝ちゃったね。 かばんちゃん、今日はいろんなことがあったからなー。 疲れちゃったんだね。
サーバル,でもびっくりしたよ、ボスが喋れたなんて。
サーバル,初めて聞いたけど、不思議な声してるんだね。
ラッキービースト,
サーバル,みんなボスとお話したいと思うよ。 なんで今まで喋らなかったの？
ラッキービースト,
サーバル,ねえなんか言ってよ！ 
ラッキービースト,
原作,けものフレンズプロジェクト
コンセプトデザイン,吉崎観音
企画,廣部琢之、加藤英治、山田昇、柳田一哉、ビンセント・ショーティノ、柴野達夫、池本浩史、梶井斉、寺井禎浩、濱田直樹、長畑克也、武智恒雄
特別協力,竹林昇、宮原亜希子
シリーズ構成,田辺茂範
作画監督,伊佐佳久
美術監督,白水優子
撮影監督,石山智之
音響監督,阿部信行
オープニングテーマ,「ようこそジャパリパークへ」どうぶつビスケッツ×PPP、作詞・作編曲: 大石昌良
アニメーション プロデューサー,福原慶匡
アニメーション制作,ヤオヨロズ
プロデューサー,細谷伸之、岡本泰幸、清水美佳、福田聡、秋尾浩史、石垣吉彦、工藤大丈、塩田友、和泉勇一、福田順
監督,たつき
製作,けものフレンズプロジェクトA
かばん,ん…ここ、どこ…？
かばん,うわああ食べないでくださーい！
サーバル,もー食べないって！
サーバル,あはは、おはよう。
かばん,ご、ごめん、サーバルちゃん。 おはよう…。
サーバル,昨日途中で寝ちゃったんだよ。
かばん,ええっ、そうかあ。 昨日…。
ラッキービースト,おはよう、かばん。 じゃあ出発しよう。
サーバル,うわぁ！ また喋った！
ラッキービースト,じゃあ、確認するよ。 目的地はジャパリ図書館だね。
かばん,はい。 ぼくがなんの動物なのか、調べたいんです。
サーバル,わたしは付き添い。
ラッキービースト,わかった。 じゃあ図書館までのルートを検索するね。
かばん,お〜〜！
サーバル,お〜〜！
ラッキービースト,ジャパリ図書館は、しんりんちほーにあるよ。 途中3つのちほーを通るね。 ただ、とっても距離があるから、歩いていくのはお勧めできないよ。 ジャパリバスに乗って移動しよう。 ここから一番近いのは、アンイン橋のそばだね。
かばん,バス？
サーバル,バスってなにー？
ラッキービースト,バスは、乗り物の一種だよ。 ジャパリバスなら、広いパークを周るのも楽ちんさ。
かばん,へー…。
サーバル,へー…。
ラッキービースト,バスの近くまでは、ジャングルを歩く見学ルートがおすすめだよ。 それでいいかな。
かばん,はい！
サーバル,うん！
ラッキービースト,それじゃあ、ガイドを開始するよ。 案内時間は、2時間ほどだよ。
かばん,おー！
サーバル,おー！
かばん,サバンナとは、だいぶ違うんですね。
ラッキービースト,じゃんぐるちほーは、熱帯雨林気候になってるよ。 動物の数も、とっても多いんだ。
サーバル,いろんな音が聞こえるよ。 今日もフレンズと会えるかもしれないね。
サーバル,おおっ？ おっ！ 見ーっけ！
サーバル,あそこ！ ほら！ 木の上！
かばん,サーバルちゃんと似てるね。
ラッキービースト,あれはオセロットだね。 サーバルキャットと同じ、ネコ科なんだ。 夜行性だから、日中は、木の上や、茂みで休むんだって。 木登りも上手なんだね。
かばん,はあ…。
サーバル,いいなあー。 わたしもお昼寝したいなー。
ラッキービースト,あっちにも、何かいるね。
ラッキービースト,マレーバクだね。 白黒の模様が特徴的だよ。
ラッキービースト,夜は白いところが目立って、輪郭が曖昧になるから、見つかりにくくなるんだって。
サーバル,不思議な模様だね。
かばん,いろんなフレンズがいるんだね…。
かばん,あっ！
サーバル,あっ！
フォッサ,ん？ 見かけない顔。 あ、きみはもしかして、サーバルキャットのサーバル？
サーバル,わたしのこと、知ってるの？
フォッサ,うふふ。 だって、有名だもん。 あれでしょ、さばんなちほーのトラブルメーカー。
サーバル,にゃー！ そんなことないよ！
フォッサ,わたしはフォッサ。 このあたりに暮らしているけど、さばんなちほーもたまにいくよ。
かばん,わぁ…。
フォッサ,えへへ、大きいしっぽだろ？ この子は？
サーバル,かばんちゃんだよ。 なんの動物かわかんないから、図書館にいくんだ。
フォッサ,へーえ、遠くまで大変だねー。
フォッサ,気を付けていきなよー。
サーバル,ありがとー。
かばん,ありがとうございます。
サーバル,強そうな子だったね。
かばん,大きい方でしたね。 あのしっぽが…。 
サーバル,わっ！
インドゾウ,ごめんなさい。 踊ってたらぶつかっちゃったわ。
かばん,こ、こちらこそ…すみません。
インドゾウ,ここ、木漏れ日がきれいでしょ。 踊ってると、とってもいい気分なの。
サーバル,大きいねー。
ラッキービースト,インドゾウは、アジアゾウの亜種だよ。 アフリカゾウと並んで、陸上最大の動物だね。
インドゾウ,じゃーねー。
サーバル,まったねー。
かばん,どうもー。
かばん,わー、更に大きいフレンズさんだったね。
サーバル,それに派手だったね。
サーバル,あっ、また誰か…。 あっ、なにやってるの？
アクシスジカ,ここの土、舐めると体にいいんだって。 塩？ がどうのこうのらしいよ。 お前らもどう？
サーバル,えー？ ほんとにー？
かばん,あ…今日は、遠慮しときます。
キングコブラ,キングコブラだ。 なんだ？ なんか頼みごとか？
ミナミコアリクイ,な、なんだよー！ あっち行ってよー！
クジャク,クジャクです。
タスマニアデビル,タスマニアデビルだぞー？
エリマキトカゲ,わあー！ びっくりしたあ。
オカピ,オカピだぞー！
サーバル,ここはほんとにたくさんの子がいるねー。
かばん,ほんとだね。
サーバル,それにしても、サバンナとはちょっと違った暑さだね。
かばん,確かに…。
ラッキービースト,じゃんぐるちほーは、植物も熱帯雨林のもので構成されてるんだ。 樹木が層になっているのが特徴だよ。 蔓植物のように、他の木を利用する植物が多いのも特徴だね。
かばん,うう…。
かばん,鬱蒼としてきたね…。
サーバル,うわー！
かばん,うわー！ サーバルちゃん！ 
サーバル,うー、ありがとー。 かばんちゃん器用だね。
かばん,えへへ…。
ラッキービースト,
かばん,ラッキーさん！
サーバル,ボス！
サーバル,ねえボス、こっちで合ってるの？
かばん,道が、どんどんなくなっていくね。
ラッキービースト,任せて。 ぼくの頭には、パークの全地形が入ってるんだ。 この茂みを越えれば、あとは楽な道だよ。
サーバル,よーし、いこー！
かばん,うわー！
サーバル,えっ？
かばん,これって…。
ラッキービースト,ま、ままま、ま…ま、せ、ま、
かばん,ラッキーさん！
サーバル,ボス！
ラッキービースト,ませ…て…
サーバル,どういうことなの？ ねえ道は！？
ラッキービースト,ま、ま、ままま…か…。
サーバル,えー…？ どうしたらいいんだろう？
コツメカワウソ,ふうーとうちゃーく！ わーい！ ふふふ、たーのしー！ ふひひ、ふふー！
コツメカワウソ,もういっかーい！
コツメカワウソ,わーい！ あはは、たーのしー！
サーバル,おーい！
コツメカワウソ,おお？
コツメカワウソ,わたし、コツメカワウソ。 今日はいい滑り日和だねー！ きみ達も遊びに来たの？
サーバル,ううん、歩いてきたんだけど、ここで道がなくなってて…。 カワウソ、なにか知らない？
コツメカワウソ,ここ通る子なんて見たことないなー。 けっこう前から、わたしの遊び場だよー！ さーて、もう一滑りしちゃおーっと！
サーバル,あ！ 待って待ってー！
かばん,あの、アンイン橋にいきたいんですけど。 何かご存じないですかー？
コツメカワウソ,おっ？ それならジャガーちゃんがここ通るから、乗せてってもらえば？
かばん,えっ、乗る？
サーバル,えっ、乗る？
コツメカワウソ,あれもさいっこーに楽しいんだよー。 わたしなんて自分で泳げるのに、つい乗っちゃうもんねー！
サーバル,そのジャガーって、いつごろ通るの？
コツメカワウソ,さあねえ、1日2回ぐらいかなあ。 ひなたぼっこでもしながら待つといいよ。
コツメカワウソ,よっ、はっ。 よっ。
サーバル,なにそれ、楽しそう！ わたしもやる！
コツメカワウソ,楽しいでしょ？ ねえ楽しいでしょー？ こんなこともできるよ。
かばん,わあ、器用ですね！
サーバル,みゃんみゃんみゃ、みゃんみゃんみゃ…。みゃ、みゃ…。
コツメカワウソ,そこは、こうだよ、こう。
コツメカワウソ,そう、その調子その調子ー。
コツメカワウソ,わー！
かばん,わー！
サーバル,わー！
サーバル,待って待ってー！
コツメカワウソ,乗せてー！
サーバル,わあー、こんなの初めて。
かばん,すごいですねえー。
ジャガー,アンイン橋までいけばいいんだね？
サーバル,ありがとう助かったよ。 道がなくなって、困ってたんだ。
ジャガー,この辺り、川の形ごと変わっちゃうからね。
かばん,すみません。 大変じゃないですか？
ジャガー,えへ、平気平気。 まっかせて。
ラッキービースト,ジャガーはネコ科では珍しく、泳げるんだ。
ジャガー,へん、そうよ！
ジャガー,…あれ、ボスって喋れたっけ…？
かばん,それで、このお仕事を？
ジャガー,そう、渡れなくて困ってる子が多かったからね。
ジャガー,それにここから見る景色、おもしろいだろ？
ジャガー,さあ、大きい川に出るよ！
サーバル,うわあ、おっきい！ おっきい川！
かばん,ほんと、広いねー！
コツメカワウソ,あそこが、アンイン橋だよ。
ジャガー,せーのっと。
ラッキービースト,こっち、こっち。 すぐそこだよ。
コツメカワウソ,やったー！ うおー！
ジャガー,これが、バスか？
コツメカワウソ,きゃっはははは、おもしろいおもしろーい！ ははは！
かばん,わあ…。 大きいんですね。
サーバル,ねえボス、触っていい？ 触っていいよね？
コツメカワウソ,わたし、上に乗りたーい！ ねえ、乗っていい？
サーバル,わあい、バスバス！
ジャガー,お、不思議な感触。
コツメカワウソ,やっほー、バスに乗っちゃったー。
サーバル,くんくん…。
ラッキービースト,運転席がないよ。
かばん,えっ？ 運転席…？
ラッキービースト,運転席、検索中、検索中。
ラッキービースト,本当は、ここにも車体があるはずなんだ。
ラッキービースト,運転席、検索中、検索中。
サーバル,ねえ、それがないと、バスじゃないの？
ジャガー,あ、これと似たの、向こう岸で見たことあるけど…。
ジャガー,もしかして？
ラッキービースト,やった！ これだよ！ これだよ！
ジャガー,あー、よかった。
サーバル,あはは、面白い形。
コツメカワウソ,なるほどねー、こんなのなんかー。
サーバル,これがさっきのにひっつくんだね。
かばん,でも、これ、どうやって向こう岸まで運ぼう？
ジャガー,うん、えっ？
かばん,じーっ。
サーバル,じーっ。
ジャガー,ええーっ！？
ジャガー,だはっ、ダメだダメだ。 やっぱ重すぎー。
コツメカワウソ,サーバルって、ジャンプ力あるんでしょ？ 持って飛べないの？
サーバル,うみゃみゃみゃみゃみゃ！
サーバル,うぎゃー！はー！
ジャガー,あのさ、みんなで持ち上げながら泳いでみる？
コツメカワウソ,わーい！ 沈んでいくぞー！
サーバル,あれれ？ かばんちゃん？ かばんちゃんがいないよ！？
かばん,ぶくぶくぶく…。
ジャガー,これは、ちょっときびしいぞ…。
コツメカワウソ,うふふ、こんな重いもの初めて持ったよー。
かばん,すみません、ぼくの都合で…。
サーバル,大丈夫、がんばろう。 わたしもバスになるとこ見てみたいもん。
サーバル,うーん…けど、川が大きすぎるんだよ。
ジャガー,今、水も多いんだよね。
コツメカワウソ,あれれ？ ねえ、あの道ってどこに続いてるの？
ジャガー,えっとー、さばくちほーに出られるよ。 こっちはさばんなちほー。
サーバル,へー、けっこう通る子多そうだね。
ジャガー,そう、ここ渡りたい子が多くて、大変だよ。
コツメカワウソ,なら、ジャガーがいない時って、みんなどうしてたんだろう？
ジャガー,さあ、泳げる子におぶってもらったり、とか？
かばん,あっ。
かばん,あのー、ひとつ、思いつきが…。
サーバル,えっ？ なになに？
かばん,ちょっと大変かもですが。
ジャガー,いいよ。
コツメカワウソ,たのしそー！ やるやるー！
かばん,まず、ジャガーさん。 これをカワウソさんに渡してもらえますか？
ジャガー,はいはーい。
コツメカワウソ,ジャガー、はーやく早くー！
コツメカワウソ,取ったよー、かばーん。
かばん,そしたら、それを後ろに回して、またジャガーさんに渡してもらえますかー？
コツメカワウソ,はーい。 あっはははは！ おもしろーい、変なのー変なのー。
コツメカワウソ,はーい、ジャガー。
ジャガー,うん、りょうかーい。
ジャガー,はいーよ！
かばん,ありがとうございます。
ジャガー,次は、どうしたらいい？
かばん,これを引っ張ります。
コツメカワウソ,わっはー、動いてる動いてる。
かばん,カワウソさーん、輪っかになってるところを引っ掛けてもらえますかー？
コツメカワウソ,うんにんにんにんに…重いけど、おんもしろーい！
サーバル,なにこれ、なになにこれ！
ジャガー,へー、不思議だねー。
かばん,これをあと3つ、お願いできますか？
ジャガー,うん！
サーバル,うん！
かばん,じゃあ、試してみたいんですが。
